category,date_end,date_peak,date_start,duration,duration_extreme,duration_moderate,duration_severe,duration_strong,index_end,index_peak,index_start,intensity_cumulative,intensity_cumulative_abs,intensity_cumulative_relThresh,intensity_max,intensity_max_abs,intensity_max_relThresh,intensity_mean,intensity_mean_abs,intensity_mean_relThresh,intensity_var,intensity_var_abs,intensity_var_relThresh,n_events,rate_decline,rate_onset,time_end,time_peak,time_start
Moderate,1983-01-20,1983-01-20,1983-01-18,3,0,3,0,0,384,384,382,5.358627048194176,71.8299983944744,1.238032230392367,2.0246514411753687,24.2099994588643,0.6490322435574853,1.7862090160647253,23.943332798158135,0.412677410130789,0.22155275765193894,0.2441766154996962,0.22011408116139472,94,1.068892109476895,0.25598515275071565,723930,723930,723928
Moderate,1983-10-05,1983-10-04,1983-10-03,3,0,3,0,0,642,641,640,3.566999831406136,62.8599985949695,0.6415483727570468,1.2558348604041036,21.0199995301664,0.2812258001657426,1.1889999438020453,20.953332864989832,0.21384945758568227,0.04896044687793535,0.049888764041892686,0.04963786425904609,94,0.1479978639274151,0.1328108030387393,724188,724187,724186
Moderate,1983-12-29,1983-12-28,1983-12-26,4,0,4,0,0,727,726,724,6.590436538343706,92.6699979286641,1.3088386804226033,1.7461857341776899,23.2799994796515,0.4220322486314103,1.6476091345859265,23.167499482166026,0.32720967010565083,0.08143334415567136,0.10985786025811102,0.07367893420277556,94,0.1791000878241936,0.2760056812030783,724273,724272,724270
Moderate,1984-02-09,1984-02-09,1984-02-07,3,0,3,0,0,769,769,767,5.472424120105973,73.7399983517825,1.1756128769487333,1.935586911326105,24.7199994474649,0.49941934367576835,1.8241413733686578,24.57999945059417,0.3918709589829111,0.08407768850888332,0.10708252030122727,0.08111137316538847,94,0.5093130606855745,0.3435839254936631,724315,724315,724313
Moderate,1984-06-13,1984-06-05,1984-06-02,12,0,12,0,0,894,886,883,19.738274685448037,285.7599936127662,3.5669031460798664,1.975956589620477,24.2299994584173,0.6492257919402888,1.6448562237873363,23.81333280106385,0.29724192883998884,0.17475615521810223,0.22339550873866046,0.18185162597637577,94,0.0917682584388337,0.22137372396229843,724440,724432,724429
Moderate,1984-06-22,1984-06-19,1984-06-17,6,0,6,0,0,903,900,898,12.02473357997777,142.6499968115241,3.573677339477026,2.1255380312251297,23.9099994655699,0.7205161129275233,2.0041222633296285,23.77499946858735,0.5956128899128377,0.1729360559502902,0.20694201624023056,0.17959700893994004,94,0.18546393562936409,0.27960792052536976,724449,724446,724444
Moderate,1984-07-14,1984-07-10,1984-06-26,19,0,19,0,0,925,921,907,36.6800560538594,442.04999011941254,8.467677230087638,2.2413187093445615,23.4299994762987,0.7578064346746309,1.9305292659926,23.265788953653292,0.44566722263619146,0.18252475125731632,0.23513300949567598,0.17292032225780807,94,0.1870331820315639,0.05644603458471285,724471,724467,724453
Moderate,1984-09-08,1984-09-07,1984-09-06,3,0,3,0,0,981,980,979,3.9032328284228868,63.559998579323306,0.8636128839225741,1.5146609454390756,21.3999995216727,0.5012903113759108,1.3010776094742955,21.18666619310777,0.2878709613075247,0.15136760776967947,0.15084944328136216,0.1509661945774728,94,0.33483603623747865,0.35954115135813325,724527,724526,724525
Moderate,1984-09-28,1984-09-28,1984-09-25,4,0,4,0,0,1001,1001,998,5.580220260947211,84.5799981094896,1.4949677085203028,1.589317479805203,21.3399995230138,0.580967728949819,1.3950550652368028,21.1449995273724,0.3737419271300757,0.17322743709237767,0.17356554569758822,0.18286699465749062,94,0.8908104306353053,0.16705525772010382,724547,724547,724544
Moderate,1984-10-08,1984-10-06,1984-10-04,5,0,5,0,0,1011,1009,1007,5.80113556748185,104.6699976604431,0.9339999791233886,1.2864249245919162,21.0599995292723,0.3141290252367135,1.16022711349637,20.93399953208862,0.1867999958246777,0.11391757995326475,0.11146299585335102,0.11389371427170927,94,0.1531221862157679,0.1454202402402288,724557,724555,724553
