category,date_end,date_peak,date_start,duration,duration_extreme,duration_moderate,duration_severe,duration_strong,index_end,index_peak,index_start,intensity_cumulative,intensity_cumulative_abs,intensity_cumulative_relThresh,intensity_max,intensity_max_abs,intensity_max_relThresh,intensity_mean,intensity_mean_abs,intensity_mean_relThresh,intensity_var,intensity_var_abs,intensity_var_relThresh,n_events,rate_decline,rate_onset,time_end,time_peak,time_start
Strong,1983-01-21,1983-01-20,1983-01-14,8,0,6,0,2,385,384,378,10.888758654950283,187.8199958018959,4.2554837758502195,2.0246514411753687,24.2099994588643,1.2107096503578383,1.3610948318687854,23.47749947523699,0.5319354719812774,0.3670802836789796,0.4003670101722975,0.3755226478451424,117,0.8391118137509904,0.17349899222878307,723931,723930,723924
Strong,1983-03-28,1983-03-25,1983-03-20,9,0,7,0,2,451,448,443,10.247394243537908,220.419995073229,4.36187087024652,1.4611454396593615,24.8099994454533,0.811806433467634,1.1385993603931008,24.49111056369211,0.48465231891627997,0.23224808747994638,0.23216107129024063,0.23208305601073123,117,0.268562028248351,0.12754521741364594,723997,723994,723989
Moderate,1983-06-15,1983-06-12,1983-06-11,5,0,5,0,0,530,527,526,5.744086781767006,115.6499974150211,0.8555483679737996,1.2948822246783855,23.3099994789809,0.32858063781693403,1.1488173563534012,23.12999948300422,0.17110967359475993,0.10555909903110039,0.09818349947449787,0.1012520587248537,117,0.07612712630237795,0.3143395764924482,724076,724073,724072
Moderate,1983-10-08,1983-10-04,1983-10-01,8,0,8,0,0,645,641,638,7.690205995354731,165.8299962934106,2.53129026600174,1.2558348604041036,21.0199995301664,0.609741921855079,0.9612757494193414,20.728749536676325,0.3164112832502175,0.1962058106039487,0.19166620948351654,0.1937607660723219,117,0.15049230979717937,0.15261974243423534,724191,724187,724184
Moderate,1983-10-24,1983-10-21,1983-10-20,5,0,5,0,0,661,658,657,4.238893533619027,103.62999768368891,1.322774163981979,1.0734754936456632,20.9399995319545,0.4899999890476181,0.8477787067238054,20.72599953673778,0.2645548327963958,0.16539916873051033,0.15894652833771722,0.1655463146435057,117,0.1490919213606285,0.3080609546356534,724207,724204,724203
Strong,1984-01-06,1983-12-28,1983-12-26,12,0,8,0,4,735,726,724,16.677763074384295,276.33999382331973,6.908967587508119,1.7461857341776899,23.2799994796515,0.9694838492981432,1.3898135895320245,23.02833281860998,0.5757472989590099,0.2505905596308254,0.19208649242669273,0.2754368869928443,117,0.09833012731148266,0.2760056812030783,724281,724272,724270
Moderate,1984-02-18,1984-02-13,1984-02-12,7,0,7,0,0,778,773,772,6.779075650484248,167.4899962563068,1.278935455284529,1.0877454657785144,23.9899994637817,0.3136774123435835,0.9684393786406069,23.92714232232954,0.18270506504064699,0.07827972539566168,0.049775002859382335,0.0867296260544427,117,0.1007900900861778,0.1873278195043362,724324,724319,724318
Moderate,1984-05-26,1984-05-16,1984-05-15,12,0,10,0,0,876,866,865,11.801066118523561,285.0499936286359,1.7027741554882958,1.666007249707551,24.5799994505942,0.8244515944753061,0.9834221765436301,23.754166135719657,0.14189784629069133,0.39764104817140355,0.4349225568223475,0.39711177552290433,117,0.07291473433482107,0.8084036668740721,724422,724412,724411
Strong,1984-07-15,1984-07-10,1984-05-31,46,0,28,0,15,926,921,881,77.55643566095104,1076.0899759475142,33.600063765108864,2.2413187093445615,23.4299994762987,1.3239354542787183,1.68600947089024,23.39326034668509,0.7304361688067145,0.3993892468558187,0.4449086487212823,0.396073480723597,117,0.24440803118183105,0.03358972511655193,724472,724467,724427
Strong,1984-09-12,1984-09-07,1984-09-05,8,0,6,0,2,985,980,978,9.168168283478675,168.11999624222528,3.723483787741504,1.5146609454390756,21.3999995216727,0.8346451426345247,1.1460210354348344,21.01499953027816,0.465435473467688,0.25584860196811976,0.25248761781550844,0.25519809887473777,117,0.14732967848874748,0.368932543073344,724531,724526,724524
